topic,summary
Korean language,"Korean (South Korean: 한국어, hangugeo; North Korean: 조선말, chosŏnmal) is the native language for about 80 million people, mostly of Korean descent. It is the official and national language of both North Korea and South Korea (geographically Korea), but over the past 74 years of political division, the two Koreas have developed some noticeable vocabulary differences. Beyond Korea, the language is recognised as a minority language in parts of China, namely Jilin Province, and specifically Yanbian Prefecture and Changbai County. It is also spoken by Sakhalin Koreans in parts of Sakhalin, the Russian island just north of Japan, and by the Koryo-saramcode: kor promoted to code: ko  in parts of Central Asia. The language has a few extinct relatives which—along with the Jeju language (Jejuan) of Jeju Island and Korean itself—form the compact Koreanic language family. Even so, Jejuan and Korean are not mutually intelligible with each other. The linguistic homeland of Korean is suggested to be somewhere in contemporary Northeast China. The hierarchy of the society from which the language originates deeply influences the language, leading to a system of speech levels and honorifics indicative of the formality of any given situation.
Modern Korean is written in the Korean script (한글; Hangul in South Korea, 조선글; Chosŏn'gŭl in North Korea), a system developed during the 15th century for that purpose, although it did not become the primary script until the 20th century. The script uses 24 basic letters (jamo) and 27 complex letters formed from the basic ones. When first recorded in historical texts, Korean was only a spoken language; all written records were maintained in Classical Chinese, which, even when spoken, is not intelligible to someone who speaks only Korean. Later, Chinese characters adapted to the Korean language, Hanja (漢字), were used to write the language for most of Korea's history and are still used to a limited extent in South Korea, most prominently in the humanities and the study of historical texts.
Since the turn of the 21st century, aspects of Korean culture have spread to other countries through globalization and cultural exports. As such, interest in Korean language acquisition (as a foreign language) is also generated by longstanding alliances, military involvement, and diplomacy, such as between South Korea–United States, China–North Korea and North Korea–Russia since the end of World War II and the Korean War. Along with other languages such as Chinese and Arabic, Korean is ranked at the top difficulty level for English speakers by the U.S. Department of Defense.

"
French language,"French (français [fʁɑ̃sɛ] or langue française [lɑ̃ɡ fʁɑ̃sɛːz]) is a Romance language of the Indo-European family. It descended from the Vulgar Latin of the Roman Empire, as did all Romance languages. French evolved from Gallo-Romance, the Latin spoken in Gaul, and more specifically in Northern Gaul. Its closest relatives are the other langues d'oïl—languages historically spoken in northern France and in southern Belgium, which French (Francien) largely supplanted. French was also influenced by native Celtic languages of Northern Roman Gaul like Gallia Belgica and by the (Germanic) Frankish language of the post-Roman Frankish invaders. Today, owing to France's past overseas expansion, there are numerous French-based creole languages, most notably Haitian Creole. A French-speaking person or nation may be referred to as Francophone in both English and French.
French is an official language in 29 countries across multiple continents, most of which are members of the Organisation internationale de la Francophonie (OIF), the community of 84 countries which share the official use or teaching of French. French is also one of six official languages used in the United Nations. It is spoken as a first language (in descending order of the number of speakers) in France; Canada (especially in the provinces of Quebec, Ontario, and New Brunswick, as well as other Francophone regions); Belgium (Wallonia and the Brussels-Capital Region); western Switzerland (specifically the cantons forming the Romandy region); parts of Luxembourg; parts of the United States (the states of Louisiana, Maine, New Hampshire and Vermont); Monaco; the Aosta Valley region of Italy; and various communities elsewhere.In 2015, approximately 40% of the francophone population (including L2 and partial speakers) lived in Europe, 36% in sub-Saharan Africa and the Indian Ocean, 15% in North Africa and the Middle East, 8% in the Americas, and 1% in Asia and Oceania. French is the second most widely spoken mother tongue in the European Union. Of Europeans who speak other languages natively, approximately one-fifth are able to speak French as a second language. French is the second most taught foreign language in the EU. All institutions of the EU use French as a working language along with English and German; in certain institutions, French is the sole working language (e.g. at the Court of Justice of the European Union). French is also the 18th most natively spoken language in the world, fifth most spoken language by total number of speakers and the second or third most studied language worldwide (with about 120 million learners as of 2017). As a result of French and Belgian colonialism from the 16th century onward, French was introduced to new territories in the Americas, Africa and Asia. Most second-language speakers reside in Francophone Africa, in particular Gabon, Algeria, Morocco, Tunisia, Mauritius, Senegal and Ivory Coast.French is estimated to have about 76 million native speakers; about 235 million daily, fluent speakers; and another 77–110 million secondary speakers who speak it as a second language to varying degrees of proficiency, mainly in Africa. According to the OIF, approximately 321 million people worldwide are ""able to speak the language"", without specifying the criteria for this estimation or whom it encompasses. According to a demographic projection led by the Université Laval and the Réseau Démographie de l'Agence universitaire de la Francophonie, the total number of French speakers will reach approximately 500 million in 2025 and 650 million by 2050. OIF estimates 700 million by 2050, 80% of whom will be in Africa.French has a long history as an international language of literature and scientific standards and is a primary or second language of many international organisations including the United Nations, the European Union, the North Atlantic Treaty Organization, the World Trade Organization, the International Olympic Committee, and the International Committee of the Red Cross. In 2011, Bloomberg Businessweek ranked French the third most useful language for business, after English and Standard Mandarin Chinese."
Dutch language,"Dutch (Nederlands [ˈneːdərlɑnts] (listen)) is a West Germanic language spoken by about 25 million people as a first language and 5 million as a second language. It is the third most widely spoken Germanic language, after its close relatives  German and English. Afrikaans is a separate but somewhat mutually intelligible daughter language spoken, to some degree, by at least 16 million people, mainly in South Africa and Namibia, evolving from the Cape Dutch dialects of Southern Africa. The dialects used in Belgium (including Flemish) and in Suriname, meanwhile, are all guided by the Dutch Language Union.
In Europe, most of the population of the Netherlands (where it is the only official language spoken countrywide) and about 60% of the population of Belgium (as one of three official languages) speak Dutch. Outside the Low Countries, Dutch is the native language of the majority of the population of the South American country of Suriname, a former Dutch colony, where it also holds an official status, as it does in the Caribbean island countries of Aruba, Curaçao and Sint Maarten, which are constituent countries of the Kingdom of the Netherlands.  Up to half a million native speakers reside in the United States, Canada and Australia combined, and historical linguistic minorities on the verge of extinction remain in parts of France, Germany and Indonesia.Dutch is one of the closest relatives of both German and English and is colloquially said to be ""roughly in between"" them. Dutch, like English, has not undergone the High German consonant shift, does not use Germanic umlaut as a grammatical marker, has largely abandoned the use of the subjunctive, and has levelled much of its morphology, including most of its case system. Features shared with German include the survival of two to three grammatical genders—albeit with few grammatical consequences—as well as the use of modal particles, final-obstruent devoicing, and a similar word order. Dutch vocabulary is mostly Germanic; it incorporates slightly more Romance loans than German but far fewer than English."
Bengali vocabulary,"Bengali (বাংলা Bangla) is one of the Eastern Indo-Aryan (Magadhan) languages, evolved from Magadhi Prakrit and Pali languages native to the Indian subcontinent. The core of Bengali vocabulary is thus etymologically of Magadhi Prakrit and Pali languages. However, centuries of major borrowing and reborrowing from Arabic, Persian, Turkish, Sanskrit, Austroasiatic languages and other languages has led to the adoption of a wide range of words with foreign origins; thus making the origins of borrowed and re-borrowed words in the Bengali vocabulary numerous and diverse, due to centuries of contact with various languages."
Singlish vocabulary,"Singlish is the English-based creole or patois spoken colloquially in Singapore. English is one of Singapore's official languages, along with Malay (which is also the National Language), Mandarin, and Tamil. Although English is the lexifier language, Singlish has its unique slang and syntax, which are more pronounced in informal speech. It is usually a mixture of English, Mandarin, Tamil, Malay, and other local dialects like Hokkien, Cantonese or Teochew. There are a few loan words from these languages i.e. pek chek is often taken as being annoyed or frustrated and originate from the Hokkien dialect. It is used in casual contexts between Singaporeans, but is avoided in formal events when certain Singlish phrases may be considered unedifying. Singapore English can be broken into two subcategories. Standard Singapore English (SSE) and Colloquial Singapore English (CSE) or Singlish as many locals call it. The relationship between SSE and Singlish is viewed as a diglossia, in which SSE is restricted to be used in situations of formality where Singlish/CSE is used in most other circumstances.Some of the most popular Singlish terms have been added to the Oxford English Dictionary (OED) since 2000, including wah, sabo, lepak, shiok and hawker centre. On 11 February 2015, kiasu was chosen as OED's Word of the Day."
XML,"Extensible Markup Language (XML) is a markup language and file format for storing, transmitting, and reconstructing arbitrary data. It defines a set of rules for encoding documents in a format that is both human-readable and machine-readable. The World Wide Web Consortium's XML 1.0 Specification of 1998 and several other related specifications—all of them free open standards—define XML.The design goals of XML emphasize simplicity, generality, and usability across the Internet. It is a textual data format with strong support via Unicode for different human languages. Although the design of XML focuses on documents, the language is widely used for the representation of arbitrary data structures such as those used in web services.
Several schema systems exist to aid in the definition of XML-based languages, while programmers have developed many application programming interfaces (APIs) to aid the processing of XML data."
dictionaries,"A dictionary is a listing of lexemes from the lexicon of one or more specific languages, often arranged alphabetically (or by radical and stroke for ideographic languages), which may include information on definitions, usage, etymologies, pronunciations, translation, etc. It is a lexicographical reference that shows inter-relationships among the data.A broad distinction is made between general and specialized dictionaries. Specialized dictionaries include words in specialist fields, rather than a complete range of words in the language. Lexical items that describe concepts in specific fields are usually called terms instead of words, although there is no consensus whether lexicology and terminology are two different fields of study. In theory, general dictionaries are supposed to be semasiological, mapping word to definition, while specialized dictionaries are supposed to be onomasiological, first identifying concepts and then establishing the terms used to designate them. In practice, the two approaches are used for both types. There are other types of dictionaries that do not fit neatly into the above distinction, for instance bilingual (translation) dictionaries, dictionaries of synonyms (thesauri), and rhyming dictionaries. The word dictionary (unqualified) is usually understood to refer to a general purpose monolingual dictionary.There is also a contrast between prescriptive or descriptive dictionaries; the former reflect what is seen as correct use of the language while the latter reflect recorded actual use. Stylistic indications (e.g. ""informal"" or ""vulgar"") in many modern dictionaries are also considered by some to be less than objectively descriptive.The first recorded dictionaries date back to Sumerian times around 2300 BCE, in the form of bilingual dictionaries, and the oldest surviving monolingual dictionaries are Chinese dictionaries c. 3rd century BCE. The first purely English alphabetical dictionary was A Table Alphabeticall, written in 1604, and monolingual dictionaries in other languages also began appearing in Europe at around this time. The systematic study of dictionaries as objects of scientific interest arose as a 20th-century enterprise, called lexicography, and largely initiated by Ladislav Zgusta. The birth of the new discipline was not without controversy, with the practical dictionary-makers being sometimes accused by others of having an ""astonishing"" lack of method and critical-self reflection."
Dictionary,"Wiktionary (UK:  WIK-shə-nər-ee, US:  WIK-shə-nerr-ee, rhyming with ""dictionary"") is a multilingual, web-based project to create a free content dictionary of terms (including words, phrases, proverbs, linguistic reconstructions, etc.) in all natural languages and in a number of artificial languages. These entries may contain definitions, images for illustration, pronunciations, etymologies, inflections, usage examples, quotations, related terms, and translations of terms into other languages, among other features. It is collaboratively edited via a wiki. Its name is a portmanteau of the words wiki and dictionary. It is available in 186 languages and in Simple English. Like its sister project Wikipedia, Wiktionary is run by the Wikimedia Foundation, and is written collaboratively by volunteers, dubbed ""Wiktionarians"". Its wiki software, MediaWiki, allows almost anyone with access to the website to create and edit entries.
Because Wiktionary is not limited by print space considerations, most of Wiktionary's language editions provide definitions and translations of terms from many languages, and some editions offer additional information typically found in thesauri.
Wiktionary's data is frequently used in various natural language processing tasks."
Lexico,"A lexicon is the vocabulary of a language or branch of knowledge (such as nautical or medical).  In linguistics, a lexicon is a language's inventory of lexemes. The word lexicon derives from Greek word λεξικόν (lexikon), neuter of λεξικός (lexikos) meaning 'of or for words'.Linguistic theories generally regard human languages as consisting of two parts: a lexicon, essentially a catalogue of a language's words (its wordstock); and a grammar, a system of rules which allow for the combination of those words into meaningful sentences. The lexicon is also thought to include bound morphemes, which cannot stand alone as words (such as most affixes). In some analyses, compound words and certain classes of idiomatic expressions, collocations and other phrases are also considered to be part of the lexicon. Dictionaries are lists of the lexicon, in alphabetical order, of a given language; usually, however, bound morphemes are not included."
Oxford dictionary,"The Oxford English Dictionary (OED) is the first and foundational historical dictionary of the English language, published by Oxford University Press (OUP). It traces the historical development of the English language, providing a comprehensive resource to scholars and academic researchers, as well as describing usage in its many variations throughout the world.Work began on the dictionary in 1857, but it was only in 1884 that it began to be published in unbound fascicles as work continued on the project, under the name of A New English Dictionary on Historical Principles; Founded Mainly on the Materials Collected by The Philological Society. In 1895, the title The Oxford English Dictionary was first used unofficially on the covers of the series, and in 1928 the full dictionary was republished in 10 bound volumes. In 1933, the title The Oxford English Dictionary fully replaced the former name in all occurrences in its reprinting as 12 volumes with a one-volume supplement. More supplements came over the years until 1989, when the second edition was published, comprising 21,728 pages in 20 volumes. Since 2000, compilation of a third edition of the dictionary has been underway, approximately half of which was complete by 2018.The first electronic version of the dictionary was made available in 1988. The online version has been available since 2000, and by April 2014 was receiving over two million visits per month. The third edition of the dictionary is expected to be available exclusively in electronic form; the Chief Executive of Oxford University Press has stated that it is unlikely that it will ever be printed."
documents,"A document is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content.  The word originates from the Latin Documentum, which denotes a ""teaching"" or ""lesson"": the verb doceō denotes ""to teach"". In the past, the word was usually used to denote written proof useful as evidence of a truth or fact. In the computer age, ""document"" usually denotes a primarily textual computer file, including its structure and format, e.g. fonts, colors, and images. Contemporarily, ""document"" is not defined by its transmission medium, e.g., paper, given the existence of electronic documents. ""Documentation"" is distinct because it has more denotations than ""document"". Documents are also distinguished from ""realia"", which are three-dimensional objects that would otherwise satisfy the definition of ""document"" because they memorialize or represent thought; documents are considered more as 2-dimensional representations. While documents can have large varieties of customization, all documents can be shared freely and have the right to do so, creativity can be represented by documents, also. History, events, examples, opinions, etc. all can be expressed in documents."
Document,"A document is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content.  The word originates from the Latin Documentum, which denotes a ""teaching"" or ""lesson"": the verb doceō denotes ""to teach"". In the past, the word was usually used to denote written proof useful as evidence of a truth or fact. In the computer age, ""document"" usually denotes a primarily textual computer file, including its structure and format, e.g. fonts, colors, and images. Contemporarily, ""document"" is not defined by its transmission medium, e.g., paper, given the existence of electronic documents. ""Documentation"" is distinct because it has more denotations than ""document"". Documents are also distinguished from ""realia"", which are three-dimensional objects that would otherwise satisfy the definition of ""document"" because they memorialize or represent thought; documents are considered more as 2-dimensional representations. While documents can have large varieties of customization, all documents can be shared freely and have the right to do so, creativity can be represented by documents, also. History, events, examples, opinions, etc. all can be expressed in documents."
False document,A false document is a technique by which an author aims to increase verisimilitude in a work of fiction by inventing and inserting or mentioning documents that appear to be factual. The goal of a false document is to convince an audience that what is being presented is factual.
Book of Documents,"The Book of Documents (Shūjīng, earlier Shu King) or Classic of History, also known as the Shangshu (“Venerated Documents”), is one of the Five Classics of ancient Chinese literature.  It is a collection of rhetorical prose attributed to figures of ancient China, and served as the foundation of Chinese political philosophy for over 2,000 years.
The Book of Documents was the subject of one of China's oldest literary controversies, between proponents of different versions of the text. A version was preserved from Qin Shi Huang's burning of books and burying of scholars by scholar Fu Sheng, in 29 sections (pian 篇). This group of texts were referred to as ""Modern Script"" jinwen 今文, because written with the script in use at the beginning of the Western Han dyansty. According to Western Han dynasty documents, new textual material was  discovered in the wall of Confucius' family estate in Qufu by his descendant Kong Anguo in the late 2nd century BC. This new material was referred to as ""Old Script"" guwen 古文, because written in the script that predated the standardization of Chinese script enforced during the Qing dynasty. Compared to the ""Modern Script"" texts, the ""Old Script"" material had 16 more texts. However, this seems to have been lost at the end of the Eastern Han dynasty, while the ""Modern Script"" text enjoyed circulation, in particular in Ouyang Gao’s 歐陽高 (a. 136 BCE) study of it, the Ouyang Shangshu 歐陽尚書. This was the basis of studies by Ma Rong and Zheng Xuan in the Easter Han Dynasty. By the end of the second century CE, there was knowledge that the Shangshu at some point included more than the ""Modern Script"" text. This likely prompted scholars to recreate the ""Old Script"" texts said to have once belonged to the Shangshu, a process that culminated with the presentation of a 58 section (59 if the preface is included in the count) Shangshu to the Eastern Jin court, in 317 CE, by Mei Ze 梅頤.
This version was accepted, among doubts, and later was canonized as part of Kong Yingda's project. It was only in the 17th century that Qing dynasty scholar Yan Ruoqu demonstrated that the ""Old Script"" were actually fabrications ""reconstructed"" in the 3rd or 4th centuries AD.
In the transmitted edition, texts are grouped into four sections representing different eras: the semi-mythical reign of Yu the Great, and the Xia, Shang and Zhou dynasties.  The Zhou section accounts for over half the text.  Some of its New Text chapters are among the earliest examples of Chinese prose, recording speeches from the early years of the Zhou dynasty in the late 11th century BC.  Although the other three sections purport to record earlier material, most scholars believe that even the New Script chapters in these sections were composed later than those in the Zhou section, with chapters relating to the earliest periods being as recent as the 4th or 3rd centuries BC."
Halloween documents,"The Halloween documents comprise a series of confidential Microsoft memoranda on potential strategies relating to free software, open-source software, and to Linux in particular, and a series of media responses to these memoranda. Both the leaked documents and the responses were published by Eric S. Raymond in 1998.The documents are associated with Halloween because many of them were originally leaked close to October 31 in different years.

"
Electronic document,"An electronic document is any electronic media content (other than computer programs or system files) that is intended to be used in either an electronic form or as printed output. Originally, any computer data were considered as something internal — the final data output was always on paper. However, the development of computer networks has made it so that in most cases it is much more convenient to distribute electronic documents than printed ones. The improvements in electronic visual display technologies made it possible to view documents on screen instead of printing them (thus saving paper and the space required to store the printed copies).However, using electronic documents for final presentation instead of paper has created the problem of multiple incompatible file formats. Even plain text computer files are not free from this problem — e.g. under MS-DOS, most programs could not work correctly with UNIX-style text files (see newline), and for non-English speakers, the different code pages always have been a source of trouble.
Even more problems are connected with complex file formats of various word processors, spreadsheets, and graphics software. To alleviate the problem, many software companies distribute free file viewers for their proprietary file formats (one example is Adobe's Acrobat Reader). The other solution is the development of standardized non-proprietary file formats (such as HTML and OpenDocument), and electronic documents for specialized uses have specialized formats – the specialized electronic articles in physics use TeX or PostScript."
Historical document,"Historical documents are original documents that contain important historical information about a person, place, or event and can thus serve as primary sources as important ingredients of the historical methodology.
Significant historical documents can be deeds, laws, accounts of battles (often given by the victors or persons sharing their viewpoint), or the exploits of the powerful. Though these documents are of historical interest, they do not detail the daily lives of ordinary people, or the way society functioned. Anthropologists, historians and archeologists generally are more interested in documents that describe the day-to-day lives of ordinary people, indicating what they ate, their interaction with other members of their households and social groups, and their states of mind. It is this information that allows them to try to understand and describe the way society was functioning at any particular time in history. Greek ostraka provide good examples of historical documents from ""among the common people"".
Many documents that are produced today, such as personal letters, pictures, contracts, newspapers, and medical records, would be considered valuable historical documents in the future. However most of these will be lost in the future since they are either printed on ordinary paper which has a limited lifespan, or even stored in digital formats, then lost track over time.
Some companies and government entities are attempting to increase the number of documents that will survive the passage of time, by taking into account the preservation issues, and either printing documents in a manner that would increase the likelihood of them surviving indefinitely, or placing selected documents in time capsules or other special storage environments."
Document management system,"A document management system (DMS) is usually a computerized system used to store, share, track and manage files or documents. Some systems include history tracking where a log of the various versions created and modified by different users is recorded. The term has some overlap with the concepts of content management systems. It is often viewed as a component of enterprise content management (ECM) systems and related to digital asset management, document imaging, workflow systems and records management systems."
Constitution,"Institutions are humanly devised structures of rules and norms that shape and constrain individual behavior. All definitions of institutions generally entail that there is a level of persistence and continuity. Laws, rules, social conventions and norms are all examples of institutions. Institutions vary in their level of formality and informality.Institutions are a principal object of study in social sciences such as political science, anthropology, economics, and sociology (the latter described by Émile Durkheim as the ""science of institutions, their genesis and their functioning""). Primary or meta-institutions are institutions such as the family or money that are broad enough to encompass sets of related institutions. Institutions are also a central concern for law, the formal mechanism for political rule-making and enforcement. Historians study and document the founding, growth, decay and development of institutions as part of political, economic and cultural history."
Identity document,
Google Docs,"Google Docs is an online word processor included as part of the free, web-based Google Docs Editors suite offered by Google, which also includes: Google Sheets, Google Slides, Google Drawings, Google Forms, Google Sites and Google Keep. Google Docs is accessible via an internet browser as a web-based application and is also available as a mobile app on Android and iOS and as a desktop application on Google's ChromeOS.
Google Docs allows users to create and edit documents online while collaborating with other users in real time. Edits are tracked by the user making the edit, with a revision history presenting changes. An editor's position is highlighted with an editor-specific color and cursor, and a permissions system regulates what users can do. Updates have introduced features using machine learning, including ""Explore"", offering search results based on the contents of a document, and ""Action items"", allowing users to assign tasks to other users.Google Docs supports opening and saving documents in the standard OpenDocument format as well as in Rich text format, plain Unicode text, zipped HTML, and Microsoft Word. Exporting to PDF and EPUB formats are implemented."
stemming,"In linguistic morphology and information retrieval, stemming is the process of reducing inflected (or sometimes derived) words to their word stem, base or root form—generally a written word form. The stem need not be identical to the morphological root of the word; it is usually sufficient that related words map to the same stem, even if this stem is not in itself a valid root. Algorithms for stemming have been studied in computer science since the 1960s. Many search engines treat words with the same stem as synonyms as a kind of query expansion, a process called conflation.
A computer program or subroutine that stems word may be called a stemming program, stemming algorithm, or stemmer."
Stemming,"In linguistic morphology and information retrieval, stemming is the process of reducing inflected (or sometimes derived) words to their word stem, base or root form—generally a written word form. The stem need not be identical to the morphological root of the word; it is usually sufficient that related words map to the same stem, even if this stem is not in itself a valid root. Algorithms for stemming have been studied in computer science since the 1960s. Many search engines treat words with the same stem as synonyms as a kind of query expansion, a process called conflation.
A computer program or subroutine that stems word may be called a stemming program, stemming algorithm, or stemmer."
documents,"A document is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content.  The word originates from the Latin Documentum, which denotes a ""teaching"" or ""lesson"": the verb doceō denotes ""to teach"". In the past, the word was usually used to denote written proof useful as evidence of a truth or fact. In the computer age, ""document"" usually denotes a primarily textual computer file, including its structure and format, e.g. fonts, colors, and images. Contemporarily, ""document"" is not defined by its transmission medium, e.g., paper, given the existence of electronic documents. ""Documentation"" is distinct because it has more denotations than ""document"". Documents are also distinguished from ""realia"", which are three-dimensional objects that would otherwise satisfy the definition of ""document"" because they memorialize or represent thought; documents are considered more as 2-dimensional representations. While documents can have large varieties of customization, all documents can be shared freely and have the right to do so, creativity can be represented by documents, also. History, events, examples, opinions, etc. all can be expressed in documents."
Document,"A document is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content.  The word originates from the Latin Documentum, which denotes a ""teaching"" or ""lesson"": the verb doceō denotes ""to teach"". In the past, the word was usually used to denote written proof useful as evidence of a truth or fact. In the computer age, ""document"" usually denotes a primarily textual computer file, including its structure and format, e.g. fonts, colors, and images. Contemporarily, ""document"" is not defined by its transmission medium, e.g., paper, given the existence of electronic documents. ""Documentation"" is distinct because it has more denotations than ""document"". Documents are also distinguished from ""realia"", which are three-dimensional objects that would otherwise satisfy the definition of ""document"" because they memorialize or represent thought; documents are considered more as 2-dimensional representations. While documents can have large varieties of customization, all documents can be shared freely and have the right to do so, creativity can be represented by documents, also. History, events, examples, opinions, etc. all can be expressed in documents."
False document,A false document is a technique by which an author aims to increase verisimilitude in a work of fiction by inventing and inserting or mentioning documents that appear to be factual. The goal of a false document is to convince an audience that what is being presented is factual.
Book of Documents,"The Book of Documents (Shūjīng, earlier Shu King) or Classic of History, also known as the Shangshu (“Venerated Documents”), is one of the Five Classics of ancient Chinese literature.  It is a collection of rhetorical prose attributed to figures of ancient China, and served as the foundation of Chinese political philosophy for over 2,000 years.
The Book of Documents was the subject of one of China's oldest literary controversies, between proponents of different versions of the text. A version was preserved from Qin Shi Huang's burning of books and burying of scholars by scholar Fu Sheng, in 29 sections (pian 篇). This group of texts were referred to as ""Modern Script"" jinwen 今文, because written with the script in use at the beginning of the Western Han dyansty. According to Western Han dynasty documents, new textual material was  discovered in the wall of Confucius' family estate in Qufu by his descendant Kong Anguo in the late 2nd century BC. This new material was referred to as ""Old Script"" guwen 古文, because written in the script that predated the standardization of Chinese script enforced during the Qing dynasty. Compared to the ""Modern Script"" texts, the ""Old Script"" material had 16 more texts. However, this seems to have been lost at the end of the Eastern Han dynasty, while the ""Modern Script"" text enjoyed circulation, in particular in Ouyang Gao’s 歐陽高 (a. 136 BCE) study of it, the Ouyang Shangshu 歐陽尚書. This was the basis of studies by Ma Rong and Zheng Xuan in the Easter Han Dynasty. By the end of the second century CE, there was knowledge that the Shangshu at some point included more than the ""Modern Script"" text. This likely prompted scholars to recreate the ""Old Script"" texts said to have once belonged to the Shangshu, a process that culminated with the presentation of a 58 section (59 if the preface is included in the count) Shangshu to the Eastern Jin court, in 317 CE, by Mei Ze 梅頤.
This version was accepted, among doubts, and later was canonized as part of Kong Yingda's project. It was only in the 17th century that Qing dynasty scholar Yan Ruoqu demonstrated that the ""Old Script"" were actually fabrications ""reconstructed"" in the 3rd or 4th centuries AD.
In the transmitted edition, texts are grouped into four sections representing different eras: the semi-mythical reign of Yu the Great, and the Xia, Shang and Zhou dynasties.  The Zhou section accounts for over half the text.  Some of its New Text chapters are among the earliest examples of Chinese prose, recording speeches from the early years of the Zhou dynasty in the late 11th century BC.  Although the other three sections purport to record earlier material, most scholars believe that even the New Script chapters in these sections were composed later than those in the Zhou section, with chapters relating to the earliest periods being as recent as the 4th or 3rd centuries BC."
Halloween documents,"The Halloween documents comprise a series of confidential Microsoft memoranda on potential strategies relating to free software, open-source software, and to Linux in particular, and a series of media responses to these memoranda. Both the leaked documents and the responses were published by Eric S. Raymond in 1998.The documents are associated with Halloween because many of them were originally leaked close to October 31 in different years.

"
Electronic document,"An electronic document is any electronic media content (other than computer programs or system files) that is intended to be used in either an electronic form or as printed output. Originally, any computer data were considered as something internal — the final data output was always on paper. However, the development of computer networks has made it so that in most cases it is much more convenient to distribute electronic documents than printed ones. The improvements in electronic visual display technologies made it possible to view documents on screen instead of printing them (thus saving paper and the space required to store the printed copies).However, using electronic documents for final presentation instead of paper has created the problem of multiple incompatible file formats. Even plain text computer files are not free from this problem — e.g. under MS-DOS, most programs could not work correctly with UNIX-style text files (see newline), and for non-English speakers, the different code pages always have been a source of trouble.
Even more problems are connected with complex file formats of various word processors, spreadsheets, and graphics software. To alleviate the problem, many software companies distribute free file viewers for their proprietary file formats (one example is Adobe's Acrobat Reader). The other solution is the development of standardized non-proprietary file formats (such as HTML and OpenDocument), and electronic documents for specialized uses have specialized formats – the specialized electronic articles in physics use TeX or PostScript."
Historical document,"Historical documents are original documents that contain important historical information about a person, place, or event and can thus serve as primary sources as important ingredients of the historical methodology.
Significant historical documents can be deeds, laws, accounts of battles (often given by the victors or persons sharing their viewpoint), or the exploits of the powerful. Though these documents are of historical interest, they do not detail the daily lives of ordinary people, or the way society functioned. Anthropologists, historians and archeologists generally are more interested in documents that describe the day-to-day lives of ordinary people, indicating what they ate, their interaction with other members of their households and social groups, and their states of mind. It is this information that allows them to try to understand and describe the way society was functioning at any particular time in history. Greek ostraka provide good examples of historical documents from ""among the common people"".
Many documents that are produced today, such as personal letters, pictures, contracts, newspapers, and medical records, would be considered valuable historical documents in the future. However most of these will be lost in the future since they are either printed on ordinary paper which has a limited lifespan, or even stored in digital formats, then lost track over time.
Some companies and government entities are attempting to increase the number of documents that will survive the passage of time, by taking into account the preservation issues, and either printing documents in a manner that would increase the likelihood of them surviving indefinitely, or placing selected documents in time capsules or other special storage environments."
Document management system,"A document management system (DMS) is usually a computerized system used to store, share, track and manage files or documents. Some systems include history tracking where a log of the various versions created and modified by different users is recorded. The term has some overlap with the concepts of content management systems. It is often viewed as a component of enterprise content management (ECM) systems and related to digital asset management, document imaging, workflow systems and records management systems."
Constitution,"Institutions are humanly devised structures of rules and norms that shape and constrain individual behavior. All definitions of institutions generally entail that there is a level of persistence and continuity. Laws, rules, social conventions and norms are all examples of institutions. Institutions vary in their level of formality and informality.Institutions are a principal object of study in social sciences such as political science, anthropology, economics, and sociology (the latter described by Émile Durkheim as the ""science of institutions, their genesis and their functioning""). Primary or meta-institutions are institutions such as the family or money that are broad enough to encompass sets of related institutions. Institutions are also a central concern for law, the formal mechanism for political rule-making and enforcement. Historians study and document the founding, growth, decay and development of institutions as part of political, economic and cultural history."
Identity document,
Google Docs,"Google Docs is an online word processor included as part of the free, web-based Google Docs Editors suite offered by Google, which also includes: Google Sheets, Google Slides, Google Drawings, Google Forms, Google Sites and Google Keep. Google Docs is accessible via an internet browser as a web-based application and is also available as a mobile app on Android and iOS and as a desktop application on Google's ChromeOS.
Google Docs allows users to create and edit documents online while collaborating with other users in real time. Edits are tracked by the user making the edit, with a revision history presenting changes. An editor's position is highlighted with an editor-specific color and cursor, and a permissions system regulates what users can do. Updates have introduced features using machine learning, including ""Explore"", offering search results based on the contents of a document, and ""Action items"", allowing users to assign tasks to other users.Google Docs supports opening and saving documents in the standard OpenDocument format as well as in Rich text format, plain Unicode text, zipped HTML, and Microsoft Word. Exporting to PDF and EPUB formats are implemented."
